"","SourceFile","Directory","FileName","Rings_visible","Rings_comb","Flag","comments","Molt","Score","date"
"322","E:/Kaikoura_photos/Ailsa/2021to2022/November_2021/2021_11_09 Dot ob new nest 39/IMG_0206.JPG","E:/Kaikoura_photos/Ailsa/2021to2022/November_2021/2021_11_09 Dot ob new nest 39","IMG_0206.JPG","1","RLYR","0","METAL ON LEFT","1",4,2021-11-09
"323","E:/Kaikoura_photos/Ailsa/2021to2022/November_2021/2021_11_09 Dot ob new nest 39/IMG_0210.JPG","E:/Kaikoura_photos/Ailsa/2021to2022/November_2021/2021_11_09 Dot ob new nest 39","IMG_0210.JPG","1","RBBO","0","","1",4,2021-11-09
"324","E:/Kaikoura_photos/Ailsa/2021to2022/November_2021/2021_11_09 Dot ob new nest 39/IMG_0198.JPG","E:/Kaikoura_photos/Ailsa/2021to2022/November_2021/2021_11_09 Dot ob new nest 39","IMG_0198.JPG","1","RLYR","0","METAL ON LEFT","0",NA,2021-11-09
"325","E:/Kaikoura_photos/Ailsa/2021to2022/November_2021/2021_11_09 Dot ob new nest 39/IMG_9982.JPG","E:/Kaikoura_photos/Ailsa/2021to2022/November_2021/2021_11_09 Dot ob new nest 39","IMG_9982.JPG","1","RWBY","0","","1",5,2021-11-09
"326","E:/Kaikoura_photos/Ailsa/2021to2022/November_2021/2021_11_10 Dot ob hatch nest 30/IMG_0216.JPG","E:/Kaikoura_photos/Ailsa/2021to2022/November_2021/2021_11_10 Dot ob hatch nest 30","IMG_0216.JPG","1","RWBG","0","","1",6,2021-11-10
"327","E:/Kaikoura_photos/Ailsa/2021to2022/November_2021/2021_11_10 Dot ob hatch nest 30/IMG_0221.JPG","E:/Kaikoura_photos/Ailsa/2021to2022/November_2021/2021_11_10 Dot ob hatch nest 30","IMG_0221.JPG","1","RWRR","0","","1",5,2021-11-10
"328","E:/Kaikoura_photos/Ailsa/2021to2022/November_2021/2021_11_10 Dot ob hatch nest 30/IMG_0230.JPG","E:/Kaikoura_photos/Ailsa/2021to2022/November_2021/2021_11_10 Dot ob hatch nest 30","IMG_0230.JPG","1","RGGL","0","","1",5,2021-11-10
"329","E:/Kaikoura_photos/Ailsa/2021to2022/November_2021/2021_11_10 Dot ob hatch nest 30/IMG_0231.JPG","E:/Kaikoura_photos/Ailsa/2021to2022/November_2021/2021_11_10 Dot ob hatch nest 30","IMG_0231.JPG","1","RBBR","0","","1",6,2021-11-10
"330","E:/Kaikoura_photos/Ailsa/2021to2022/November_2021/2021_11_10 Dot ob hatch nest 30/IMG_0237.JPG","E:/Kaikoura_photos/Ailsa/2021to2022/November_2021/2021_11_10 Dot ob hatch nest 30","IMG_0237.JPG","1","RBBR","0","","1",6,2021-11-10
"331","E:/Kaikoura_photos/Ailsa/2021to2022/November_2021/2021_11_10 Dot ob hatch nest 30/IMG_0239.JPG","E:/Kaikoura_photos/Ailsa/2021to2022/November_2021/2021_11_10 Dot ob hatch nest 30","IMG_0239.JPG","1","RBBY","0","","1",4,2021-11-10
